,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max,temperature_2m_range,precipitation_sum,rainy_days,max_daily_precipitation,wind_speed_10m_max,wind_speed_10m_mean,windy_days,temperature_2m_mean_ma3,temperature_2m_mean_ma12,precipitation_sum_ma3,precipitation_sum_ma12,wind_speed_10m_max_ma3,wind_speed_10m_max_ma12,city,temperature_2m_mean_rank,precipitation_sum_rank,wind_speed_10m_max_rank
6,2011-07-01,23.981521739130436,18.2,29.4,11.2,10.8,2,3.6,24.7,13.967391304347826,5,16.151068906938473,14.731905899483538,97.3,112.01428571428572,24.866666666666664,29.571428571428573,Madrid,3.0,3.0,1.0
7,2011-10-01,10.447826086956523,2.2,21.2,19.0,137.2,16,21.7,27.7,11.565217391304348,7,17.525899824812868,14.196395922917661,92.66666666666667,115.1625,24.766666666666666,29.3375,Madrid,2.0,2.0,2.0
8,2012-01-01,6.240659340659341,-0.9,14.5,15.4,15.4,4,6.9,30.9,12.54945054945055,11,13.556669055582098,13.312425191555626,54.46666666666667,104.07777777777778,27.766666666666666,29.511111111111113,Madrid,2.0,3.0,2.0
9,2012-04-01,17.47142857142857,6.3,30.8,24.5,63.5,14,9.7,30.6,16.205494505494507,23,11.386637999681477,13.72832552954292,72.03333333333333,100.02000000000001,29.73333333333333,29.619999999999997,Madrid,2.0,3.0,2.0
10,2012-07-01,24.357608695652175,13.2,32.3,19.099999999999998,60.9,6,37.5,30.9,15.434782608695652,13,16.02323220258003,14.694623999189217,46.6,96.46363636363635,30.8,29.736363636363638,Madrid,3.0,3.0,1.0
11,2012-10-01,9.441304347826087,2.3,20.4,18.099999999999998,165.29999999999998,19,22.3,27.6,12.106521739130434,6,17.09011387163561,14.256847361575623,96.56666666666665,102.2,29.7,29.558333333333334,Madrid,2.0,3.0,2.0
12,2013-01-01,5.898888888888889,1.3,11.1,9.799999999999999,173.9,31,19.1,30.5,16.36,25,13.232600644122384,14.278976991205253,133.36666666666665,101.94999999999999,29.666666666666668,28.825,Madrid,2.0,2.0,2.0
13,2013-04-01,15.005494505494505,4.8,26.3,21.5,86.7,16,18.9,28.8,15.20989010989011,12,10.115229247403159,14.205625342853603,141.96666666666667,98.31666666666666,28.96666666666667,28.333333333333332,Madrid,2.0,3.0,1.0
14,2013-07-01,24.955434782608698,16.5,29.5,13.0,20.1,4,9.8,22.9,13.952173913043477,8,15.286606058997364,14.23442969067969,93.56666666666666,97.68333333333332,27.400000000000002,28.091666666666665,Madrid,3.0,3.0,1.0
15,2013-10-01,9.068478260869565,1.7,19.6,17.900000000000002,124.3,19,18.1,33.4,13.076086956521738,8,16.34313584965759,14.278360850099979,77.03333333333332,94.93333333333332,28.366666666666664,28.158333333333335,Madrid,2.0,3.0,2.0
16,2014-01-01,7.213333333333334,1.7,13.7,12.0,157.2,29,14.3,34.4,16.154444444444444,18,13.74574879227053,14.352527516766648,100.53333333333332,95.44166666666666,30.23333333333333,28.691666666666663,Madrid,2.0,2.0,2.0
17,2014-04-01,17.88791208791209,8.8,25.8,17.0,64.8,13,12.7,29.6,15.215384615384615,12,11.389907894038329,14.33082422006335,115.43333333333332,90.00833333333333,32.46666666666666,29.333333333333332,Madrid,2.0,3.0,1.5
18,2014-07-01,23.45,16.2,29.4,13.2,31.299999999999997,8,9.7,26.5,13.927173913043477,6,16.183748473748473,14.28653074180248,84.43333333333332,91.71666666666668,30.166666666666668,29.483333333333334,Madrid,3.0,3.0,1.0
19,2014-10-01,10.458695652173914,1.4,19.2,17.8,194.3,22,21.8,26.7,12.081521739130435,7,17.265535913362,14.28743653890393,96.8,96.47500000000001,27.599999999999998,29.400000000000002,Madrid,2.0,2.0,1.0
20,2015-01-01,6.23,0.5,15.6,15.1,90.5,17,16.7,30.3,14.135555555555555,19,13.379565217391303,14.286548260515652,105.36666666666666,102.73333333333333,27.833333333333332,29.349999999999998,Madrid,2.0,3.0,2.0
21,2015-04-01,18.77032967032967,8.4,31.3,22.9,44.9,9,10.6,29.6,14.382417582417581,12,11.819675107501192,14.39479001875741,109.89999999999998,101.18333333333332,28.866666666666664,29.266666666666666,Madrid,2.0,3.0,1.0
22,2015-07-01,24.684782608695652,15.0,31.6,16.6,24.1,10,3.3,33.4,14.382608695652175,7,16.56170409300844,14.422054511511034,53.16666666666666,98.11666666666667,31.099999999999998,29.474999999999998,Madrid,3.0,3.0,3.0
23,2015-10-01,10.98695652173913,4.0,18.8,14.8,85.5,11,31.1,27.9,10.772826086956522,8,18.147356266921484,14.550858859337119,51.49999999999999,91.46666666666665,30.3,29.5,Madrid,2.0,3.0,2.0
24,2016-01-01,7.126373626373627,1.9,12.6,10.7,108.8,24,12.4,31.9,16.161538461538463,29,14.266037585602803,14.653149254127515,72.8,86.04166666666667,31.066666666666663,29.616666666666664,Madrid,2.0,3.0,2.0
25,2016-04-01,16.074725274725274,6.9,27.8,20.9,149.5,18,29.9,27.3,15.124175824175824,15,11.396018474279343,14.742251818230079,114.59999999999998,91.27499999999999,29.03333333333333,29.491666666666664,Madrid,2.0,2.0,1.0
26,2016-07-01,25.69782608695652,14.6,30.6,16.0,13.700000000000001,2,9.1,25.0,13.793478260869565,7,16.299641662685136,14.804117760259063,90.66666666666667,90.74166666666667,28.066666666666666,29.666666666666668,Madrid,3.0,3.0,1.0
27,2016-10-01,10.497826086956522,1.6,21.6,20.0,225.8,27,27.7,25.5,10.390217391304347,3,17.423459149546105,14.923230079099644,129.66666666666666,99.2,25.933333333333334,29.00833333333333,Madrid,2.0,2.0,1.0
28,2017-01-01,7.564444444444444,-0.9,16.1,17.0,92.4,22,14.2,38.8,17.71222222222222,30,14.58669887278583,14.952489338358903,110.63333333333333,93.8,29.766666666666666,29.375,Madrid,2.0,3.0,2.0
29,2017-04-01,20.016483516483518,9.6,31.6,22.0,101.7,21,12.8,36.9,19.26043956043956,39,12.692918015961494,15.129870290739854,139.96666666666667,96.875,33.73333333333333,29.98333333333333,Madrid,2.0,3.0,2.0
30,2017-07-01,24.48586956521739,15.4,31.1,15.700000000000001,90.10000000000001,6,35.7,33.5,18.75978260869565,35,17.355599175381784,15.216192754507972,94.73333333333333,101.77499999999999,36.4,30.566666666666663,Madrid,3.0,3.0,1.0
31,2017-10-01,10.630434782608695,1.4,22.7,21.3,72.6,12,20.2,39.7,15.720652173913043,19,18.377595954769863,15.230504348710868,88.13333333333333,91.63333333333334,36.699999999999996,31.650000000000002,Madrid,2.0,3.0,2.0
32,2018-01-01,6.116666666666666,0.4,12.8,12.4,223.70000000000002,27,27.6,41.0,20.72888888888889,42,13.74432367149758,15.221059904266426,128.79999999999998,102.73333333333333,38.06666666666666,32.541666666666664,Madrid,2.0,2.0,2.0
33,2018-04-01,16.52747252747253,5.5,28.8,23.3,131.4,28,22.1,35.6,18.77032967032967,33,11.091524658915963,15.034155142361664,142.56666666666666,109.94166666666668,38.766666666666666,33.041666666666664,Madrid,2.0,3.0,2.0
34,2018-07-01,25.198913043478264,19.5,31.7,12.2,18.2,4,8.5,29.1,17.580434782608698,26,15.94768407920582,15.076999345260214,124.43333333333334,109.45,35.23333333333333,32.68333333333333,Madrid,3.0,3.0,1.0
35,2018-10-01,9.802173913043479,2.8,20.0,17.2,165.0,29,15.8,34.9,15.282608695652174,26,17.17618649466476,14.978267461202245,104.86666666666666,116.075,33.199999999999996,33.266666666666666,Madrid,2.0,2.0,2.0
36,2019-01-01,7.9,1.1,14.6,13.5,33.9,7,8.6,38.3,16.330000000000002,28,14.300362318840582,15.042736325671108,72.36666666666666,109.83333333333333,34.1,33.8,Madrid,2.0,3.0,2.0
37,2019-04-01,17.59120879120879,6.0,31.8,25.8,91.4,13,22.2,39.2,21.043956043956044,47,11.764460901417422,15.169109952044735,96.76666666666665,104.99166666666667,37.46666666666666,34.791666666666664,Madrid,2.0,3.0,2.0
38,2019-07-01,24.536956521739132,16.3,31.2,14.899999999999999,86.3,9,19.6,31.3,18.844565217391306,40,16.676055104315974,15.072370821609953,70.53333333333332,111.04166666666667,36.266666666666666,35.31666666666667,Madrid,3.0,3.0,1.0
39,2019-10-01,10.752173913043478,3.8,21.2,17.4,161.5,24,30.4,45.3,19.08695652173913,39,17.62677974199713,15.093566473783865,113.06666666666665,105.68333333333334,38.6,36.96666666666667,Madrid,2.0,3.0,2.0
40,2020-01-01,8.372527472527473,0.6,17.4,16.799999999999997,104.9,18,27.4,41.4,16.872527472527473,25,14.553885969103357,15.160906726124118,117.56666666666665,106.72500000000001,39.333333333333336,37.18333333333333,Madrid,2.0,3.0,2.0
41,2020-04-01,17.937362637362636,8.3,29.2,20.9,160.5,31,20.5,33.9,17.825274725274724,28,12.35402134097786,14.987646652864044,142.29999999999998,111.62500000000001,40.199999999999996,36.93333333333334,Madrid,2.0,2.0,1.0
42,2020-07-01,24.752173913043475,14.0,31.6,17.6,57.7,6,21.3,34.3,18.968478260869563,34,17.020688007644527,15.009838681849551,107.69999999999999,108.925,36.53333333333333,37.0,Madrid,3.0,3.0,2.0
43,2020-10-01,9.722826086956522,1.6,18.2,16.599999999999998,186.8,28,23.9,39.4,16.50978260869565,31,17.47078754578754,14.934204623878538,135.0,118.44166666666668,35.86666666666667,36.975,Madrid,2.0,3.0,2.0
44,2010-01-01,3.565555555555555,-3.0,11.2,14.2,165.1,34,11.4,38.3,19.765555555555558,43,3.565555555555555,3.565555555555555,165.1,165.1,38.3,38.3,London,1.0,3.0,2.0
45,2010-04-01,12.114285714285716,5.0,21.2,16.2,92.0,23,11.4,30.9,16.98901098901099,24,7.839920634920635,7.839920634920635,128.55,128.55,34.599999999999994,34.599999999999994,London,1.0,3.0,2.0
46,2010-07-01,16.309782608695652,9.9,21.3,11.4,179.3,29,27.5,34.8,19.281521739130437,36,10.663207959512308,10.663207959512308,145.46666666666667,145.46666666666667,34.666666666666664,34.666666666666664,London,1.0,1.0,3.0
47,2010-10-01,5.525,-6.3,15.5,21.8,151.3,30,15.6,39.8,19.684782608695652,36,11.316356107660456,9.37865596963423,140.86666666666667,146.925,35.166666666666664,35.949999999999996,London,1.0,3.0,3.0
48,2011-01-01,5.828888888888889,-0.2,12.4,12.6,123.4,23,16.2,42.9,19.815555555555555,34,9.22122383252818,8.668702553485161,151.33333333333334,142.22,39.166666666666664,37.339999999999996,London,1.0,3.0,3.0
49,2011-04-01,13.571428571428571,7.2,22.9,15.7,96.3,17,10.2,39.1,20.17142857142857,48,8.308439153439153,9.485823556475731,123.66666666666669,134.56666666666666,40.599999999999994,37.63333333333333,London,1.0,3.0,3.0
50,2011-07-01,15.943478260869565,11.8,21.6,9.8,151.29999999999998,24,25.7,38.4,18.56195652173913,33,11.781265240395674,10.408345657103421,123.66666666666667,136.95714285714286,40.13333333333333,37.74285714285714,London,1.0,1.0,3.0
51,2011-10-01,9.81195652173913,0.5,18.4,17.9,102.2,25,12.6,43.2,22.51304347826087,55,13.108954451345754,10.333797015182885,116.59999999999998,132.6125,40.233333333333334,38.425,London,1.0,3.0,3.0
52,2012-01-01,5.781318681318681,-2.6,11.3,13.9,82.4,16,13.0,46.2,18.91868131868132,36,10.512251154642458,9.827966089197973,111.96666666666665,127.03333333333333,42.6,39.28888888888889,London,1.0,2.0,3.0
53,2012-04-01,11.589010989010989,5.1,19.8,14.700000000000001,315.1,48,32.9,39.2,21.50879120879121,49,9.060762064022931,10.004070579179274,166.5666666666667,145.84,42.866666666666674,39.28,London,1.0,1.0,3.0
54,2012-07-01,15.803260869565218,10.7,22.7,12.0,202.6,31,25.5,32.4,18.741304347826087,37,11.057863513298294,10.531269696487088,200.03333333333333,151.0,39.26666666666667,38.654545454545456,London,1.0,1.0,2.5
55,2012-10-01,7.514130434782608,-1.2,14.0,15.2,259.9,46,14.3,43.2,22.293478260869566,53,11.635467431119602,10.27984142467838,259.2,160.07500000000002,38.26666666666667,39.03333333333333,London,1.0,1.0,3.0
56,2013-01-01,3.1144444444444446,-2.3,10.9,13.2,137.5,29,12.3,40.4,20.362222222222222,44,8.810611916264088,10.242248832085787,200.0,157.775,38.666666666666664,39.208333333333336,London,1.0,3.0,3.0
57,2013-04-01,10.94065934065934,1.8,19.0,17.2,114.39999999999999,28,11.6,41.6,21.303296703296702,46,7.18974473996213,10.14444663428359,170.59999999999997,159.64166666666668,41.73333333333333,40.1,London,1.0,2.0,3.0
58,2013-07-01,17.14782608695652,11.1,24.0,12.9,153.1,27,25.4,32.6,16.958695652173912,24,10.400976624020101,10.214283590805328,134.99999999999997,157.45833333333334,38.2,39.916666666666664,London,1.0,2.0,2.0
59,2013-10-01,8.603260869565217,2.4,17.2,14.799999999999999,230.20000000000002,44,18.1,53.6,24.019565217391307,54,12.230582099060358,10.470805329935764,165.89999999999998,164.03333333333333,42.6,41.06666666666667,London,1.0,2.0,3.0
60,2014-01-01,6.816666666666666,3.4,12.6,9.2,237.6,45,17.9,52.5,25.578888888888887,59,10.855917874396134,10.55312014475058,206.96666666666667,173.54999999999998,46.23333333333334,41.86666666666667,London,1.0,1.0,3.0
61,2014-04-01,13.16043956043956,7.0,19.1,12.100000000000001,172.9,36,12.8,36.2,17.432967032967035,26,9.526789032223812,10.518871060501494,213.56666666666663,179.9333333333333,47.43333333333334,41.625,London,1.0,2.0,3.0
62,2014-07-01,16.918478260869566,12.4,23.0,10.6,160.5,23,20.6,34.0,16.89021739130435,23,12.298528162658597,10.600121060501495,190.3333333333333,180.70000000000002,40.900000000000006,41.25833333333333,London,1.0,2.0,3.0
63,2014-10-01,9.193478260869565,-0.5,17.6,18.1,211.0,38,17.3,41.9,21.76195652173913,52,13.090798694059563,10.54858120542903,181.46666666666667,189.76666666666668,37.36666666666667,41.15,London,1.0,1.0,3.0
64,2015-01-01,5.017777777777778,-1.1,11.1,12.2,132.4,30,13.0,45.9,23.105555555555554,49,10.376578099838968,10.484952796800622,167.96666666666667,193.9333333333333,40.6,41.12500000000001,London,1.0,2.0,3.0
65,2015-04-01,12.18131868131868,6.7,19.9,13.2,104.8,28,12.0,44.3,20.558241758241756,44,8.797524906655342,10.534311771159597,149.4,176.40833333333333,44.03333333333333,41.55,London,1.0,2.0,3.0
66,2015-07-01,15.979347826086956,11.3,25.9,14.599999999999998,240.6,39,24.1,33.3,18.975,38,11.059481428394472,10.548985684203075,159.26666666666665,179.57500000000002,41.166666666666664,41.625,London,1.0,1.0,2.0
67,2015-10-01,10.745652173913044,1.2,15.5,14.3,159.8,33,12.9,45.9,24.49891304347826,63,12.968772893772893,10.818279162463945,168.39999999999998,171.23333333333332,41.166666666666664,41.85,London,1.0,2.0,3.0
68,2016-01-01,5.49010989010989,-0.7,11.2,11.899999999999999,170.6,37,14.6,49.8,24.017582417582418,57,10.738369963369962,11.016251282936066,190.33333333333334,173.99166666666667,43.0,42.63333333333333,London,1.0,2.0,3.0
69,2016-04-01,12.148351648351648,4.9,18.9,13.999999999999998,214.1,40,22.0,32.8,18.580219780219778,37,9.461371237458193,11.116892308577091,181.49999999999997,182.29999999999998,42.833333333333336,41.9,London,1.0,1.0,3.0
70,2016-07-01,17.871739130434783,13.2,23.8,10.600000000000001,105.2,22,16.6,36.3,18.661956521739132,38,11.836733556298773,11.177218395533613,163.29999999999998,178.30833333333337,39.63333333333333,42.208333333333336,London,1.0,1.0,3.0
71,2016-10-01,8.08804347826087,-0.6,13.8,14.4,92.60000000000001,15,15.8,35.3,18.22717391304348,32,12.702711419015765,11.134283612924918,137.29999999999998,166.84166666666667,34.8,40.68333333333333,London,1.0,3.0,3.0
72,2017-01-01,6.247777777777777,-1.2,14.5,15.7,152.3,33,17.8,53.4,22.43777777777778,44,10.735853462157808,11.08687620551751,116.69999999999997,159.73333333333332,41.666666666666664,40.75833333333333,London,1.0,2.0,3.0
73,2017-04-01,13.736263736263735,5.6,23.8,18.200000000000003,150.1,26,25.5,41.9,20.462637362637363,43,9.357361664100793,11.134861553502857,131.66666666666666,157.83333333333334,43.53333333333333,41.23333333333333,London,1.0,2.0,3.0
74,2017-07-01,16.308695652173913,10.7,21.7,11.0,205.8,48,14.2,42.7,20.95,47,12.09757905540514,11.084046336111554,169.39999999999998,161.60833333333335,46.0,41.958333333333336,London,1.0,1.0,3.0
75,2017-10-01,8.539130434782608,-0.8,17.2,18.0,151.6,26,22.4,44.1,22.73804347826087,53,12.86136327440675,11.029517350604307,169.16666666666663,156.65833333333333,42.9,42.141666666666666,London,1.0,2.0,3.0
76,2018-01-01,4.8244444444444445,-3.2,10.8,14.0,189.0,40,11.2,49.4,25.017777777777777,65,9.89075684380032,11.013406239493195,182.1333333333333,161.375,45.4,42.43333333333333,London,1.0,3.0,3.0
77,2018-04-01,13.94945054945055,5.6,20.3,14.700000000000001,143.0,29,16.3,39.0,19.9967032967033,40,9.1043418095592,11.160750561837517,161.19999999999996,164.55833333333334,44.166666666666664,41.99166666666667,London,1.0,2.0,3.0
78,2018-07-01,18.047826086956523,9.7,25.5,15.8,130.7,23,13.3,44.1,19.98695652173913,37,12.273907026950505,11.333123750243315,154.23333333333332,155.4,44.166666666666664,42.89166666666667,London,1.0,2.0,3.0
79,2018-10-01,9.08695652173913,0.7,20.7,20.0,152.6,30,16.3,43.3,21.955434782608698,55,13.694744386048733,11.194899112562155,142.09999999999997,154.79999999999998,42.13333333333333,42.675000000000004,London,1.0,3.0,3.0
80,2019-01-01,6.2877777777777775,-0.7,11.5,12.2,134.1,29,14.9,53.7,23.25222222222222,50,11.140853462157809,11.26137143653448,139.1333333333333,151.75833333333333,47.03333333333333,43.0,London,1.0,2.0,3.0
81,2019-04-01,12.437362637362638,3.2,22.5,19.3,175.3,35,31.3,41.8,20.130769230769232,41,9.270698978959848,11.285455685618729,153.99999999999997,148.525,46.26666666666667,43.75,London,1.0,2.0,3.0
82,2019-07-01,17.54891304347826,12.6,27.6,15.000000000000002,205.1,29,21.1,48.1,20.929347826086957,42,12.091351152872889,11.258553511705685,171.49999999999997,156.85,47.86666666666667,44.73333333333333,London,1.0,2.0,3.0
